"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2014,12,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,45630,907271,907271,6583671,"ANSP","ANSP",0,0,0,,0
2015,4,"ATSA BULGARIA","ATSA BULGARIA","BULATSA",3,56729,1110033,1110033,8082519,"ANSP","ANSP",0,0,0,,0
2015,1,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,59796,1130668,1130668,6903606,"ANSP","ANSP",0,2808,0,101,101
2014,2,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,52750,1000448,1000448,6011443,"ANSP","ANSP",0,2738,0,61,61
2014,3,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,61631,1137501,1137501,6996285,"ANSP","ANSP",0,5871,0,169,169
2014,1,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,57737,1106283,1106283,6647113,"ANSP","ANSP",493,9209,22,300,322
2014,4,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,69337,1254990,1254990,7927355,"ANSP","ANSP",0,8722,0,386,386
2015,2,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,55051,1029810,1029810,6282472,"ANSP","ANSP",0,4683,0,121,121
2014,5,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,81497,1461418,1461418,9358740,"ANSP","ANSP",1388,11166,50,389,439
2014,7,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,96096,1738874,1738874,11123964,"ANSP","ANSP",4932,17604,147,466,613
2014,6,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,87370,1567127,1567127,10044654,"ANSP","ANSP",220,6243,7,224,231
2014,10,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,83644,1544733,1544733,9639795,"ANSP","ANSP",0,8517,0,292,292
2014,9,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,91154,1667024,1667024,10595314,"ANSP","ANSP",458,4916,18,185,203
2014,8,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,98735,1793218,1793218,11498487,"ANSP","ANSP",8637,15354,314,235,549
2015,3,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,65145,1218498,1218498,7438550,"ANSP","ANSP",579,3702,27,118,145
2014,11,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,63690,1210622,1210622,7398858,"ANSP","ANSP",0,2355,0,70,70
