"ANSP_NAME","PRU_ATC_TYPE","AUA_CODE","AUA_NAME"
"Albcontrol","ACC","LAAACTA","TIRANA ACC"
"Albcontrol","FIS","LAAAICTA","FLIGHT INFORMATION"
"ANA LUX","APP","ELLXCTR","LUXEMBOURG TOWER"
"ANA LUX","APP","ELLXTMA","LUXEMBOURG APPROACH"
"ANS CR","ACC","LKAAUTA","PRAHA UAC"
"ANS CR","ACC","LKAACTA","PRAGUE ACC"
"ANS CR","APP","LKAAICTA","LKAAARGA GND 095/125"
"ANS CR","APP","LKPRTMA","APPROACH PRAHA"
"ARMATS","ACC","UDDDCTA","EREVAN ACC"
"ARMATS","APP","UDYZTMA","YEREVAN APP"
"ARMATS","APP","UDSGTMA","GYUMRI APP"
"Austro Control","ACC","LOVVCTA","WIEN ACC"
"Austro Control","APP","LOWKTMA","APPROACH CONTROL"
"Austro Control","APP","LOWWTMA","APPROACH CONTROL"
"Austro Control","APP","LOWSTMA","APPROACH CONTROL"
"Austro Control","APP","LOWLTMA","APPROACH CONTROL"
"Austro Control","APP","LOWITMA","APPROACH CONTROL"
"Austro Control","APP","LOWGTMA","APPROACH CONTROL"
"Avinor","ACC","ENBDCTA","BODO ATCC"
"Avinor","ACC","ENOSCTA","OSLO ATCC"
"Avinor","APP","ENGMCTR","GARDERMOEN TOWER"
"Avinor","APP","ENDUTMA","BARDUFOSS TOWER"
"Avinor","APP","ENNATMA","BANAK TOWER"
"Avinor","APP","ENOLTMA","ORLAND TOWER"
"Avinor","APP","ENROTMA","ROROS TOWER"
"Avinor","APP","ENTCTMA","TROMSO/LANGNES"
"Avinor","APP","ENVATMA","TRONDHEIM/VAERNES"
"Avinor","APP","ENZVTMA","WEST COAST APPROACH"
"Avinor","APP","ENBRTMA","BERGEN APPROACH"
"Avinor","APP","ENKRTMA","KIRKENES TOWER"
"Avinor","APP","ENEVTMA","EVENES TOWER"
"Avinor","APP","ENHETMA","HEIDRUN A"
"Avinor","APP","ENMLTMA","MORE APPROACH"
"Avinor","APP","ENOSTMA","OSLO APPROACH"
"Avinor","APP","ENCNTMA","KJEVIK TOWER"
"Avinor","APP","ENBOTMA","BODO TOWER"
"Avinor","APP","ENATTMA","ALTA TOWER"
"Avinor","APP","ENANTMA","ANDOYA TOWER"
"Avinor","FIS","ENLICTR","LISTA AFIS"
"Avinor","FIS","ENSBCTR","SVALBARD/LONGYEAR AF"
"Avinor","FIS","ENFLCTR","FLORO AFIS"
"Avinor","FIS","ENSGCTR","SOGNDAL AFIS"
"Avinor","OAC","ENOBOCA","BODO OCEANIC"
"Belgocontrol","ACC","EBBUCTA","BELGOCONTROL"
"Belgocontrol","APP","EBCICTR","CHARLEROI/BRUS SOUTH"
"Belgocontrol","APP","EBLGCTR","LIEGE TOWER"
"Belgocontrol","APP","EBOSCTR","OOSTENDE"
"Belgocontrol","APP","EBAWCTR","ANTWERPEN TOWER"
"Belgocontrol","APP","EBBRCTR","BRUSSELS TOWER"
"Belgocontrol","APP","EBCITMA","CHARLEROI APPROACH"
"Belgocontrol","APP","EBOSTMA","OOSTENDE APPROACH"
"Belgocontrol","APP","EBLGTMA","LIEGE APPROACH"
"Belgocontrol","APP","EBBRTMA","BRUSSELS APPROACH"
"Belgocontrol","FIS","EBBUICTA","BRUSSELS FLT INFO"
"Belgocontrol","FIS","ELLXICTA","LUXEMBOURG FLT INFO"
"BULATSA","ACC","LBSRCTA","SOFIA CONTROL"
"BULATSA","APP","LBWNTMA","VARNA APP"
"BULATSA","APP","LBSFTMA","SOFIA APP"
"BULATSA","APP","LBBGTMA","BURGAS APP"
"BULATSA","APP","LBPDCTR","PLOVDIV TWR"
"BULATSA","APP","LBGOCTR","GORNA DOMESTIC AD"
"BULATSA","FIS","LBSRICTA","LBSR FLIGHT INFO"
"Croatia Control","ACC","LDZOCTA","ZAGREB ACC"
"Croatia Control","APP","LDPLTMA","PULA APP"
"Croatia Control","APP","LDSPTMA","SPLIT APP"
"Croatia Control","APP","LDZATMA","ZAGREB APP"
"Croatia Control","APP","LDZDTMA","ZADAR TMA"
"Croatia Control","APP","LDOSTMA","OSIJEK APP"
"Croatia Control","APP","LDDUTMA","DUBROVNIK TMA"
"Croatia Control","APP","LDRITMA","RIJEKA TMA"
"DCAC Cyprus","ACC","LCCCCTA","NICOSIA ACC"
"DCAC Cyprus","APP","LCRACTR","AKROTIRI TWR"
"DCAC Cyprus","APP","LCPHCTR","PAPHOS APP"
"DCAC Cyprus","APP","LCLKCTR","LARNACA APP"
"DFS","ACC","EDWWCTA","BREMEN ACC"
"DFS","ACC","EDMMCTA","MUENCHEN ACC"
"DFS","ACC","EDUUUTA","KARLSRUHE UAC"
"DFS","ACC","EDGGSCTA",""
"DFS","ACC","EDGGNCTA",""
"DHMI","ACC","LTAAACTA","ANKARA ACC ANKARA SECTORS TEST"
"DHMI","ACC","LTAAICTA","ANKARA ACC ISTANBUL SECTORS TEST"
"DHMI","ACC","LTAAZCTA","ANKARA ACC IZMIR SECTORS TEST"
"DHMI","APP","LTCSTMA","GAP"
"DHMI","APP","LTCUTMA","BINGOL APPROACH"
"DHMI","APP","LTCVTMA","SIRNAK APPROACH"
"DHMI","APP","LTALTMA","KASTAMONU APP"
"DHMI","APP","LTACTMA","ANKARA ESENBOGA"
"DHMI","APP","LTAITMA","ANTALYA"
"DHMI","APP","LTAJTMA","GAZIANTEP"
"DHMI","APP","LTBATMA","YESILKOY APP/ISTANBU"
"DHMI","APP","LTBJTMA","IZMIR ADNAN MENDERES"
"DHMI","APP","LTBSTMA","MUGLA DALAMAN"
"DHMI","APP","LTCATMA","ELAZIG"
"DHMI","APP","LTCETMA","ERZURUM"
"DHMI","APP","LTCFTMA","KARS APP"
"DHMI","APP","LTCGTMA","TRABZON"
"DHMI","APP","LTCKTMA","MUS*"
"DHMI","APP","LTCNTMA","KAHRAMANMARAS APP"
"DHMI","APP","LTFHTMA","SAMSUN/CARSAMBA"
"DHMI","APP","LTCITMA","VAN"
"DHMI","APP","LTCTTMA","IGDIR/MIL*"
"DHMI","APP","LTFGTMA","ANTALYA"
"DHMI","APP","LTFETMA","MILAS"
"DHMI","APP","LTAYTMA","CARDAK/MIL*"
"DHMI","APP","LTAZTMA","TUZKOY"
"DHMI","APP","LTBOTMA","USAK"
"DHMI","APP","LTBZTMA","ZAFER"
"DHMI","APP","LTCMTMA","SINOP"
"DSNA","ACC","LFRRCTA","BREST ACC"
"DSNA","ACC","LFMMCTA","MARSEILLE ACC"
"DSNA","ACC","LFFFCTA","PARIS ACC WEST"
"DSNA","ACC","LFEECTA","REIMS ACC"
"DSNA","ACC","LFBBCTA","BORDEAUX ACC"
"DSNA","APP","LFBOTMA","TOULOUSE APP"
"DSNA","APP","LFBPTMA","PAU APPROACH"
"DSNA","APP","LFBZTMA","BIARRITZ BAYONNE"
"DSNA","APP","LFJLTMA","METZ APP"
"DSNA","APP","LFKJTMA","AJACCIO"
"DSNA","APP","LFLBTMA","CHAMBERY"
"DSNA","APP","LFLCTMA","CLERMONT-FERRAND"
"DSNA","APP","LFMLTMA","MARSEILLE MARIGNANE"
"DSNA","APP","LFMTTMA","MONTPELLIER/FRESJORG"
"DSNA","APP","LFPMTMA","SEINE APPROACH"
"DSNA","APP","LFQQTMA","LILLE APPROACH"
"DSNA","APP","LFRBTMA","BREST/GUIPAVAS"
"DSNA","APP","LFRGTMA","DEAUVILLE/ST GATIEN"
"DSNA","APP","LFRNTMA","RENNES ST JAQUES"
"DSNA","APP","LFSBTMA","BALE-MULHOUSE APP"
"DSNA","APP","LFSTTMA","STRASBOURG APPROACH"
"DSNA","APP","LFMNFCTA","NICE COTE D'AZUR"
"DSNA","APP","LFCRTMA","RODEZ APPROACH"
"DSNA","APP","LFLLTMA","LYON SAINT EXUPERY"
"DSNA","APP","LFOBTMA","BEAUVAIS APP"
"DSNA","APP","LFBITMA","POITIER APP"
"DSNA","APP","LFLNTMA","SAINT-YAN"
"DSNA","APP","LFBLTMA","LIMOGES APP"
"DSNA","APP","LFBHTMA","LA ROCHELLE APPROACH"
"DSNA","APP","LFBDTMA","BORDEAUX APP"
"DSNA","APP","LFOPTMA","ROUEN BOOS"
"DSNA","APP","LFKBTMA","BASTIA APP"
"DSNA","APP","LFRSTMA","NANTES/CHATEAU BOUGO"
"EANS","ACC","EETTCTA","TALLIN ACC"
"EANS","APP","EETNTMA","TALLINN APPROACH"
"EANS","APP","EETUCTR","TARTU TOWER"
"EANS","APP","EEEICTR","AMARI TWR"
"ENAIRE","ACC","LECMCTA","MADRID ACC"
"ENAIRE","ACC","LECPCTA","PALMA TCC"
"ENAIRE","ACC","LECSCTA","SEVILLA ACC"
"ENAIRE","ACC","LECBCTA","BARCELONA ACC"
"ENAIRE","ACC","GCCCCTA","CANARIAS ACC"
"ENAIRE","APP","LEASTMA","ASTURIAS"
"ENAIRE","APP","LEBLTMA","BARCELONA  APP"
"ENAIRE","APP","LESOTMA","SAN SEBASTIAN"
"ENAIRE","APP","LEVTTMA","VITORIA"
"ENAIRE","APP","LECLTMA","VALENCIA APP"
"ENAIRE","APP","LEGETMA","GERONA APPROACH"
"ENAIRE","APP","LEMDTMA","MADRID APPROACH"
"ENAIRE","APP","LEPATMA","PALMA APPROACH"
"ENAIRE","APP","LELNTMA","LEON"
"ENAIRE","APP","LEIBCTR","IBIZA"
"ENAIRE","APP","LEMGTMA","MALAGA APPROACH"
"ENAIRE","APP","LECGTMA","GALICIA APP"
"ENAIRE","APP","LEMHTMA","MENORCA"
"ENAIRE","APP","LEBBTMA","BILBAO"
"ENAIRE","APP","LEPPTMA","PAMPLONA"
"ENAIRE","APP","LERSTMA","REUS APPROACH"
"ENAIRE","APP","LEGRTMA","GRANADA"
"ENAIRE","APP","GCXOTMA","TENERIFE NORTH TOWER"
"ENAIRE","APP","LEXJTMA","SANTANDER"
"ENAIRE","APP","GCTSTMA","TENERIFE SOUTH  APP"
"ENAIRE","APP","LEAMTMA","ALMERIA APPROACH"
"ENAV","ACC","LIRRCTA","LIRRCCTA+LIRRSCTA+LIRRNCTA"
"ENAV","ACC","LIBBCTA","BRINDISI  ACC"
"ENAV","ACC","LIMMCTA","MILANO ACC SPVR"
"ENAV","ACC","LIPPCTA","PADOVA ACC"
"ENAV","APP","LIPXCTR","VERONA APP"
"ENAV","APP","LICGCTR","PANTELLERIA"
"ENAV","APP","LIRZCTR","PERUGIA"
"ENAV","APP","LIMFCTR","TORINO"
"ENAV","APP","LICACTR","LAMEZIA APPROACH"
"ENAV","APP","LICRCTR","REGGIO CALABRIA"
"ENAV","APP","LIRQCTR","PISA"
"ENAV","APP","LIRNCTR","NAPOLI APP"
"ENAV","APP","LIBDTMA","APULIA APP"
"ENAV","APP","LIPECTR","BOLOGNA"
"ENAV","APP","LIMJCTR","GENOVA"
"ENAV","APP","LIEOCTR","OLBIA"
"ENAV","APP","LIEACTR","ALGHERO APPROACH"
"ENAV","APP","LICJCTR","PALERMO APPROACH"
"ENAV","APP","LIBPCTR","PESCARA APPROACH"
"ENAV","APP","LIBGCTR","GROTTAGLIE"
