"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,1,"Albcontrol",11229,1780560.952,136478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,"MoldATSA",5261,993772.088,77639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Albcontrol",9788,1559878.484,118814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Finavia",16889,4976912.936,499196,325,205,6576,5508,325,205,6576,5508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"HCAA",29028,16449886.256,1332177,1,0,7,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"MoldATSA",4854,902464.784,70614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"DSNA",181447,95008903.808,8169040,2910,1479,58488,46103,509,232,10650,8314,2401,1247,47838,37789,0,35809,0,0,433,0,178,0,331,0,0,287,8131,0,2669,0
2014,2,"SMATSA",25903,7615236.948,594205,1,0,9,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2014,2,"NAV Portugal (Santa Maria)",8865,14566655.98,985534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Oro Navigacija",14012,2262375.42,194446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"UkSATSE",32328,20121254.016,1581248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Croatia Control",23845,7106101.776,550647,49,10,534,223,0,0,0,0,49,10,534,223,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"NAVIAIR",45166,9965408.28,918905,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"LGS",15493,3734426.508,305656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"HungaroControl",36171,8877591.632,699022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"M-NAV",4458,533976.048,43521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"ROMATSA",31642,14924375.336,1154275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"ENAV",89786,40234633.328,3534532,63,29,1060,748,63,29,1060,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"Slovenia Control",12639,1692778.004,139821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Austro Control",52750,11133192.436,1000449,97,61,3063,2738,97,61,3063,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"Skyguide",76459,13011587.14,1254400,1552,632,23734,15972,1369,543,20291,13322,183,89,3443,2650,0,3443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"LPS",23806,4278825.612,330282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"Belgocontrol",36742,3538377.492,443007,213,113,3822,2941,213,113,3822,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"DCAC Cyprus",18282,6868588.332,545568,2997,1743,63768,53077,0,0,0,0,2997,1743,63768,53077,0,18472,0,0,0,0,16,0,3811,6564,372,26948,7585,0,0,0
2014,2,"Avinor (Continental)",45287,14712626.916,1691408,328,159,5285,3809,328,159,5285,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"ENAIRE",100712,55417755.288,4817091,669,349,11824,8993,102,58,2289,1939,567,291,9535,7054,0,7670,0,0,0,0,0,0,0,0,0,0,0,0,1865,0
2014,2,"ANS CR",42139,10762423.888,867270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"SAKAERONAVIGATSIA",8180,3070641.928,229808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"MUAC",112448,32755336.884,2426553,607,174,7235,3809,0,0,0,0,607,174,7235,3809,0,798,0,0,0,0,0,0,4791,1466,0,180,0,0,0,0
2014,2,"NATS (Continental)",146983,53511380.568,5429651,2553,1759,73565,66499,2348,1619,68898,62431,205,140,4667,4068,0,4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"ARMATS",4065,810746.336,63621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"BULATSA",29237,7940357.4,602516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"DHMI",73032,50978715.008,4218476,1487,828,41573,35789,578,438,27841,26595,909,390,13732,9194,0,140,0,0,0,0,0,0,13592,0,0,0,0,0,0,0
2014,2,"DFS",183921,57484407.644,5474922,1216,523,18116,12482,596,322,10285,7916,620,201,7831,4566,0,4000,0,0,0,0,0,0,0,0,0,3831,0,0,0,0
2014,2,"IAA",32751,12790187.948,1000625,28,16,638,508,28,16,638,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"LVNL",38981,4751046.72,668124,1092,412,14527,8779,928,361,12546,7665,164,51,1981,1114,0,1799,0,0,182,0,0,0,0,0,0,0,0,0,0,0
2014,2,"NAV Portugal (Continental)",32354,16944186.908,1354042,676,319,10669,7495,49,18,630,396,627,301,10039,7099,0,9963,0,0,0,0,0,0,0,0,0,0,76,0,0,0
2014,2,"LFV",50031,20153778.84,1856041,65,34,1239,976,65,34,1239,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,"EANS",12125,3178063.484,262754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"MATS",7624,3705751.992,291733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,"PANSA",44217,19280534.912,1593144,857,370,12411,8185,0,0,0,0,857,370,12411,8185,0,2344,0,0,0,0,0,0,285,7269,0,2513,0,0,0,0
