"YEAR","MONTH_NUM","ANSP_NAME","ENTITY_NAME","ENTITY_TYPE","ENTITY_CODE","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2015,3,"NATS (Continental)","ABERDEEN/DYCE","APP","EGPDTMA",5989,219536.08,48020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","JOENSUU","APP","EFJOTMA",300,10291.564,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Belgocontrol","CHARLEROI/BRUS SOUTH","APP","EBCICTR",2081,21929.532,6112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DHMI","ANTALYA","APP","LTFGTMA",269,6880.18,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NATS (Continental)","LONDON FIR-FIC","FIS","EGTTICTA",100903,2195070.036,486549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Skyguide","GENEVA INFO","FIS","LSAGICTA",284,3457.684,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","ROVANIEMI APPROACH","APP","EFROTMA",545,22538.84,3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAV Portugal (Continental)","MADEIRA APPROACH","APP","LPMATMA",1656,196491.644,24057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Oro Navigacija","PALANGA FIC UNIT","FIS","EYPACTA",24,835.252,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"BULATSA","PLOVDIV TWR","APP","LBPDCTR",129,5268.94,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Skyguide","APPROACH LOCARNO","APP","LSZLTMA",9,37.04,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","Brindisi","ACC","LIBBACC",15883,4127219.04,317048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"ENAIRE","MENORCA","APP","LEMHTMA",958,10954.58,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LVNL","BEEK APPROACH","APP","EHBKTMA",769,14603.02,5306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Austro Control","APPROACH CONTROL","APP","LOWGTMA",1799,115483.312,20741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","MARIEHAMN","APP","EFMATMA",334,11778.72,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"UkSATSE","UKLV APP","APP","UKLVTMA",482,23553.736,3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","ANGELHOLM TOWER","APP","ESTATMA",705,28311.524,5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"M-NAV","SKOPJE","APP","LWSKTMA",1090,59526.984,8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"MoldATSA","Chisinau","ACC","LUUUACC",2787,394531.56,32245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","SVEG APPROACH","APP","ESNDTMA",37,563.008,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LPS","Bratislava","ACC","LZBBACC",30387,4932135.28,368441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LVNL","SCHIPHOL APPROACH","APP","EHAMTMA",36303,1117009.724,167088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LPS","SLIAC APP","APP","LZSLTMA",98,4159.592,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Austro Control","APPROACH CONTROL","APP","LOWKTMA",1027,51298.548,8719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","KJEVIK TOWER","APP","ENCNTMA",1465,82915.892,13296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LVNL","MAASTRICHT TOWER","APP","EHBKCTR",803,9971.168,5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","SATENAS APPROACH","APP","ESIBTMA",410,12736.204,2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","GARDERMOEN TOWER","APP","ENGMCTR",19483,156640.308,34622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NATS (Continental)","SOUTHAMPTON","APP","EGHITMA",4360,122617.216,31570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","ROROS TOWER","APP","ENROTMA",148,4104.032,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAIRE","REUS APPROACH","APP","LERSTMA",162,4994.844,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NATS (Continental)","CARDIFF","APP","EGFFTMA",3707,161648.116,27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
