"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2016",3,"MAR",01-MAR-16,"ANA LUX","ANSP (AUA)",178,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"ANS CR","ANSP (AUA)",1675,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"ARMATS","ANSP (AUA)",95,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"Albcontrol","ANSP (AUA)",305,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"Austro Control","ANSP (AUA)",1873,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"Avinor","ANSP (AUA)",1708,996,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"BLUE MED FAB","FAB (FIR)",4670,340,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"BULATSA","ANSP (AUA)",1598,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"Baltic FAB","FAB (FIR)",1819,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"Belgocontrol","ANSP (AUA)",1503,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"Croatia Control","ANSP (AUA)",858,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"DANUBE FAB","FAB (FIR)",1939,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"DCAC Cyprus","ANSP (AUA)",682,340,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"DFS","ANSP (AUA)",6991,483,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"DHMI","ANSP (AUA)",2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"DK-SE FAB","FAB (FIR)",2733,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"DSNA","ANSP (AUA)",6510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"EANS","ANSP (AUA)",465,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"ENAIRE","ANSP (AUA)",3886,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"ENAV","ANSP (AUA)",3320,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"EUROCONTROL Area (MS)","AREA (AUA)",24324,2595,0,1772,0,0,0,0,823,0,0,0,0,0,0,0,0,0
"2016",3,"MAR",01-MAR-16,"FAB CE","FAB (FIR)",4175,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"FAB CE (SES RP1)","FAB (FIR)",3835,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"FAB CE (SES RP2)","FAB (FIR)",4165,,,,,,,,,,,,,,,,,
"2016",3,"MAR",01-MAR-16,"FABEC","FAB (FIR)",13697,483,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0
