"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2015",9,"SEP",01-SEP-15,"ANA LUX","ANSP (AUA)",180,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"ANS CR","ANSP (AUA)",2419,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"ARMATS","ANSP (AUA)",133,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"Albcontrol","ANSP (AUA)",791,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"Austro Control","ANSP (AUA)",2968,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"Avinor","ANSP (AUA)",2039,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"BULATSA","ANSP (AUA)",2683,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"Belgocontrol","ANSP (AUA)",1844,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"Croatia Control","ANSP (AUA)",1973,494,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8
"2015",9,"SEP",01-SEP-15,"DCAC Cyprus","ANSP (AUA)",992,722,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,20
"2015",9,"SEP",01-SEP-15,"DFS","ANSP (AUA)",8831,5024,0,686,0,0,0,0,0,0,0,0,0,0,0,0,4338,0,331,154
"2015",9,"SEP",01-SEP-15,"DHMI","ANSP (AUA)",4317,377,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11
"2015",9,"SEP",01-SEP-15,"DSNA","ANSP (AUA)",9280,4215,0,2786,0,0,0,0,0,0,0,1375,0,0,54,0,0,0,275,130
"2015",9,"SEP",01-SEP-15,"EANS","ANSP (AUA)",557,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"ENAIRE","ANSP (AUA)",5634,2268,0,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,67
"2015",9,"SEP",01-SEP-15,"ENAV","ANSP (AUA)",5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",9,"SEP",01-SEP-15,"EUROCONTROL Area (MS)","AREA (AUA)",31763,19541,0,10094,0,0,527,0,639,0,0,1375,0,0,54,0,6852,0,1244,593
"2015",9,"SEP",01-SEP-15,"Finavia","ANSP (AUA)",713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",9,"SEP",01-SEP-15,"HCAA","ANSP (AUA)",2787,1174,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,34
"2015",9,"SEP",01-SEP-15,"HungaroControl (EC)","ANSP (AUA)",2587,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"IAA","ANSP (AUA)",1787,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"LFV","ANSP (AUA)",2261,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"LGS","ANSP (AUA)",707,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"LPS","ANSP (AUA)",1625,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"LVNL","ANSP (AUA)",1827,664,0,137,0,0,527,0,0,0,0,0,0,0,0,0,0,0,44,22
"2015",9,"SEP",01-SEP-15,"M-NAV","ANSP (AUA)",583,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"MATS","ANSP (AUA)",358,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"MUAC","ANSP (AUA)",5162,1115,0,70,0,0,0,0,639,0,0,0,0,0,0,0,406,0,73,37
"2015",9,"SEP",01-SEP-15,"MoldATSA","ANSP (AUA)",153,,,,,,,,,,,,,,,,,,,
"2015",9,"SEP",01-SEP-15,"NATS (Continental)","ANSP (AUA)",7279,2688,0,580,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,152,86
