"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015","NEFAB",72836,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","Baltic FAB",50321,4305,0,2912,0,0,0,0,0,0,0,0,0,427,966,0,0,0
"2015","UK-Ireland FAB",156745,4939,0,3738,0,0,0,0,0,0,0,0,0,1175,26,0,0,0
"2015","BLUE MED FAB",129847,22201,0,8901,0,0,0,523,2158,0,0,0,0,10391,228,0,0,0
"2015","DK-SE FAB",70683,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"2015","SW FAB",106696,7000,0,4568,0,0,0,0,0,0,109,1998,0,325,0,0,0,0
"2015","DANUBE FAB",50606,,,,,,,,,,,,,,,,,
"2015","FABEC",369720,51115,0,39290,0,0,0,0,0,0,0,1176,0,9130,38,0,1481,0
"2015","FAB CE (SES RP2)",117702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
