"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2013",10,"OCT",01-OCT-13,"ANA LUX","ANSP (AUA)",195,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"ANS CR","ANSP (AUA)",2123,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"ARMATS","ANSP (AUA)",163,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"Albcontrol","ANSP (AUA)",599,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"Austro Control","ANSP (AUA)",2633,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"Avinor","ANSP (AUA)",2032,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"BULATSA","ANSP (AUA)",1699,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"Belgocontrol","ANSP (AUA)",1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013",10,"OCT",01-OCT-13,"Croatia Control","ANSP (AUA)",1536,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"DCAC Cyprus","ANSP (AUA)",789,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"DFS","ANSP (AUA)",8617,509,0,141,0,0,0,0,151,0,0,0,0,217,0,0,0,0,58,9
"2013",10,"OCT",01-OCT-13,"DHMI","ANSP (AUA)",3406,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,12,4
"2013",10,"OCT",01-OCT-13,"DSNA","ANSP (AUA)",8187,1828,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1768,0,149,45
"2013",10,"OCT",01-OCT-13,"EANS","ANSP (AUA)",492,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"ENAIRE","ANSP (AUA)",4654,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"ENAV","ANSP (AUA)",4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013",10,"OCT",01-OCT-13,"EUROCONTROL Area (MS)","AREA (AUA)",28951,3317,0,353,0,0,0,0,211,0,200,0,0,785,0,0,1768,0,287,74
"2013",10,"OCT",01-OCT-13,"Finavia","ANSP (AUA)",643,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"HCAA","ANSP (AUA)",1958,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"HungaroControl (EC)","ANSP (AUA)",1868,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"IAA","ANSP (AUA)",1565,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"LFV","ANSP (AUA)",2229,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"LGS","ANSP (AUA)",674,,,,,,,,,,,,,,,,,,,
"2013",10,"OCT",01-OCT-13,"LPS","ANSP (AUA)",1206,,,,,,,,,,,,,,,,,,,
