"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2014",11,"NOV",01-NOV-14,"Albania","COUNTRY (FIR)",541,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Armenia","COUNTRY (FIR)",131,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Austria","COUNTRY (FIR)",2829,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Belgium","COUNTRY (FIR)",2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"Bosnia and Herzegovina","COUNTRY (FIR)",903,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Bulgaria","COUNTRY (FIR)",1992,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Croatia","COUNTRY (FIR)",1428,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Cyprus","COUNTRY (FIR)",873,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"2014",11,"NOV",01-NOV-14,"Czech Republic","COUNTRY (FIR)",1653,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Denmark","COUNTRY (FIR)",1277,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Estonia","COUNTRY (FIR)",456,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Finland","COUNTRY (FIR)",442,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"France","COUNTRY (FIR)",7270,1232,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,34
"2014",11,"NOV",01-NOV-14,"Georgia","COUNTRY (FIR)",320,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Germany","COUNTRY (FIR)",7187,1441,0,0,0,0,0,0,0,0,0,0,0,541,0,0,900,0,83,43
"2014",11,"NOV",01-NOV-14,"Greece","COUNTRY (FIR)",1623,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Hungary","COUNTRY (FIR)",1810,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Ireland","COUNTRY (FIR)",1062,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Italy","COUNTRY (FIR)",3878,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Latvia","COUNTRY (FIR)",608,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Lithuania","COUNTRY (FIR)",653,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Malta","COUNTRY (FIR)",222,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Moldova","COUNTRY (FIR)",128,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Netherlands","COUNTRY (FIR)",2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"Norway","COUNTRY (FIR)",939,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Poland","COUNTRY (FIR)",1567,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Portugal","COUNTRY (FIR)",1621,7653,0,7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,238
"2014",11,"NOV",01-NOV-14,"Portugal Continental","COUNTRY (FIR)",1485,7653,0,7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,238
"2014",11,"NOV",01-NOV-14,"Portugal Santa Maria","COUNTRY (FIR)",292,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Romania","COUNTRY (FIR)",1648,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Serbia and Montenegro","COUNTRY (FIR)",1557,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Slovakia","COUNTRY (FIR)",1119,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Slovenia","COUNTRY (FIR)",922,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Spain","COUNTRY (FIR)",4575,2458,0,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,91
"2014",11,"NOV",01-NOV-14,"Spain Canarias","COUNTRY (FIR)",1082,2412,0,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,90
"2014",11,"NOV",01-NOV-14,"Spain Continental","COUNTRY (FIR)",4342,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"2014",11,"NOV",01-NOV-14,"Sweden","COUNTRY (FIR)",1362,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Switzerland","COUNTRY (FIR)",2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"The former Yugoslav Republic of Macedonia","COUNTRY (FIR)",460,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Turkey","COUNTRY (FIR)",3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"UK Continental","COUNTRY (FIR)",5277,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"UK Oceanic","COUNTRY (FIR)",1092,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Ukraine","COUNTRY (FIR)",553,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"United Kingdom","COUNTRY (FIR)",5433,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Albania","COUNTRY (FIR)",564,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Armenia","COUNTRY (FIR)",129,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Austria","COUNTRY (FIR)",2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"Belgium","COUNTRY (FIR)",3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"Bosnia and Herzegovina","COUNTRY (FIR)",896,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Bulgaria","COUNTRY (FIR)",2102,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Croatia","COUNTRY (FIR)",1443,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Cyprus","COUNTRY (FIR)",966,3100,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,96
"2014",11,"NOV",02-NOV-14,"Czech Republic","COUNTRY (FIR)",1871,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Denmark","COUNTRY (FIR)",1558,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Estonia","COUNTRY (FIR)",484,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Finland","COUNTRY (FIR)",588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"France","COUNTRY (FIR)",7689,3685,0,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,110
"2014",11,"NOV",02-NOV-14,"Georgia","COUNTRY (FIR)",346,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Germany","COUNTRY (FIR)",7895,885,0,519,0,0,0,0,0,0,0,0,0,366,0,0,0,0,73,20
"2014",11,"NOV",02-NOV-14,"Greece","COUNTRY (FIR)",1736,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Hungary","COUNTRY (FIR)",1840,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Ireland","COUNTRY (FIR)",1151,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Italy","COUNTRY (FIR)",4291,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Latvia","COUNTRY (FIR)",598,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Lithuania","COUNTRY (FIR)",687,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Malta","COUNTRY (FIR)",241,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Moldova","COUNTRY (FIR)",125,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Netherlands","COUNTRY (FIR)",3039,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"2014",11,"NOV",02-NOV-14,"Norway","COUNTRY (FIR)",1393,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Poland","COUNTRY (FIR)",1673,383,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9
"2014",11,"NOV",02-NOV-14,"Portugal","COUNTRY (FIR)",1669,6369,0,6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,204
"2014",11,"NOV",02-NOV-14,"Portugal Continental","COUNTRY (FIR)",1513,6369,0,6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,204
"2014",11,"NOV",02-NOV-14,"Portugal Santa Maria","COUNTRY (FIR)",301,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Romania","COUNTRY (FIR)",1700,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Serbia and Montenegro","COUNTRY (FIR)",1581,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Slovakia","COUNTRY (FIR)",1169,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Slovenia","COUNTRY (FIR)",957,,,,,,,,,,,,,,,,,,,
