"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2016","UK-Ireland FAB",167873,1470,0,0,0,0,0,0,0,0,0,0,0,703,0,0,767,0
"2016","NEFAB",74897,1558,0,1417,0,0,0,0,0,0,0,0,0,141,0,0,0,0
"2016","FAB CE (SES RP2)",130396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016","DANUBE FAB",58222,,,,,,,,,,,,,,,,,
"2016","FABEC",391674,314807,0,25081,0,0,558,74883,3444,0,9286,191237,57,8399,416,0,1446,0
"2016","BLUE MED FAB",141877,11789,0,6188,0,0,0,0,0,0,0,0,0,5601,0,0,0,0
"2016","Baltic FAB",57978,2856,0,2716,0,0,0,0,0,0,140,0,0,0,0,0,0,0
"2016","DK-SE FAB",73295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016","SW FAB",120121,33220,0,19321,0,0,0,0,15,0,13549,0,0,0,0,0,335,0
