"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015","NEFAB",83720,1073,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","Baltic FAB",62914,5459,0,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","UK-Ireland FAB",190453,1632,0,121,0,0,0,0,0,0,0,0,0,1511,0,0,0,0
"2015","BLUE MED FAB",185973,119437,0,48483,0,0,0,0,5406,0,422,0,0,65126,0,0,0,0
"2015","DK-SE FAB",84506,1495,0,0,0,0,0,0,166,0,111,0,0,0,0,0,1218,0
"2015","SW FAB",147558,29726,0,13861,0,0,0,0,0,0,14691,0,0,124,363,0,687,0
"2015","DANUBE FAB",67275,,,,,,,,,,,,,,,,,
"2015","FABEC",465422,581362,0,123415,0,0,341,377641,17479,0,31467,12681,0,11697,1562,148,4931,0
"2015","FAB CE (SES RP2)",156414,444,0,131,0,0,0,0,0,0,0,0,0,0,0,0,313,0
