"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2013",12,"DEC",01-DEC-13,"Albania","COUNTRY (FIR)",423,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Armenia","COUNTRY (FIR)",149,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Austria","COUNTRY (FIR)",2389,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Belgium","COUNTRY (FIR)",2586,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Bosnia and Herzegovina","COUNTRY (FIR)",515,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Bulgaria","COUNTRY (FIR)",1104,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Croatia","COUNTRY (FIR)",981,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Cyprus","COUNTRY (FIR)",731,3030,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,133,93
"2013",12,"DEC",01-DEC-13,"Czech Republic","COUNTRY (FIR)",1572,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Denmark","COUNTRY (FIR)",1534,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Estonia","COUNTRY (FIR)",438,,,,,,,,,,,,,,,,,,,
"2013",12,"DEC",01-DEC-13,"Finland","COUNTRY (FIR)",573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013",12,"DEC",01-DEC-13,"France","COUNTRY (FIR)",6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
