"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2014",10,"OCT",01-OCT-14,"Albania","COUNTRY (FIR)",583,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Armenia","COUNTRY (FIR)",120,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Austria","COUNTRY (FIR)",3629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",10,"OCT",01-OCT-14,"Belgium","COUNTRY (FIR)",3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",10,"OCT",01-OCT-14,"Bosnia and Herzegovina","COUNTRY (FIR)",1002,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Bulgaria","COUNTRY (FIR)",2275,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Croatia","COUNTRY (FIR)",1668,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Cyprus","COUNTRY (FIR)",955,1950,0,145,0,0,0,0,1805,0,0,0,0,0,0,0,0,0,71,50
"2014",10,"OCT",01-OCT-14,"Czech Republic","COUNTRY (FIR)",2107,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Denmark","COUNTRY (FIR)",1903,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Estonia","COUNTRY (FIR)",602,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Finland","COUNTRY (FIR)",821,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"France","COUNTRY (FIR)",8747,918,0,305,0,0,0,0,613,0,0,0,0,0,0,0,0,0,67,26
"2014",10,"OCT",01-OCT-14,"Georgia","COUNTRY (FIR)",309,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Germany","COUNTRY (FIR)",9579,3157,0,1063,0,0,0,0,667,0,0,373,0,1054,0,0,0,0,218,93
"2014",10,"OCT",01-OCT-14,"Greece","COUNTRY (FIR)",2188,2503,0,609,0,0,0,0,126,0,0,0,0,0,1768,0,0,0,148,72
"2014",10,"OCT",01-OCT-14,"Hungary","COUNTRY (FIR)",2195,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Ireland","COUNTRY (FIR)",1342,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Italy","COUNTRY (FIR)",4807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",10,"OCT",01-OCT-14,"Latvia","COUNTRY (FIR)",700,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Lithuania","COUNTRY (FIR)",762,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Malta","COUNTRY (FIR)",246,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Moldova","COUNTRY (FIR)",136,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Netherlands","COUNTRY (FIR)",3510,361,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8
"2014",10,"OCT",01-OCT-14,"Norway","COUNTRY (FIR)",2046,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Poland","COUNTRY (FIR)",2069,573,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11
"2014",10,"OCT",01-OCT-14,"Portugal","COUNTRY (FIR)",1480,559,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,16
"2014",10,"OCT",01-OCT-14,"Portugal Continental","COUNTRY (FIR)",1309,559,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,16
"2014",10,"OCT",01-OCT-14,"Portugal Santa Maria","COUNTRY (FIR)",305,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Romania","COUNTRY (FIR)",1951,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Serbia and Montenegro","COUNTRY (FIR)",1827,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Slovakia","COUNTRY (FIR)",1377,258,0,111,0,0,0,0,147,0,0,0,0,0,0,0,0,0,26,5
"2014",10,"OCT",01-OCT-14,"Slovenia","COUNTRY (FIR)",1186,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Spain","COUNTRY (FIR)",4823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",10,"OCT",01-OCT-14,"Spain Canarias","COUNTRY (FIR)",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",10,"OCT",01-OCT-14,"Spain Continental","COUNTRY (FIR)",4577,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Sweden","COUNTRY (FIR)",2390,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Switzerland","COUNTRY (FIR)",3175,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"2014",10,"OCT",01-OCT-14,"The former Yugoslav Republic of Macedonia","COUNTRY (FIR)",538,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Turkey","COUNTRY (FIR)",3975,374,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8
"2014",10,"OCT",01-OCT-14,"UK Continental","COUNTRY (FIR)",6925,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
"2014",10,"OCT",01-OCT-14,"UK Oceanic","COUNTRY (FIR)",1149,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"Ukraine","COUNTRY (FIR)",648,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",01-OCT-14,"United Kingdom","COUNTRY (FIR)",7081,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
"2014",10,"OCT",02-OCT-14,"Albania","COUNTRY (FIR)",597,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Armenia","COUNTRY (FIR)",129,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Austria","COUNTRY (FIR)",3709,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Belgium","COUNTRY (FIR)",3577,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Bosnia and Herzegovina","COUNTRY (FIR)",934,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Bulgaria","COUNTRY (FIR)",2268,,,,,,,,,,,,,,,,,,,
"2014",10,"OCT",02-OCT-14,"Croatia","COUNTRY (FIR)",1623,,,,,,,,,,,,,,,,,,,
