"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2013",8,"AUG",01-AUG-13,"Albania","COUNTRY (FIR)",824,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Armenia","COUNTRY (FIR)",142,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Austria","COUNTRY (FIR)",3706,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Belgium","COUNTRY (FIR)",3348,256,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5
"2013",8,"AUG",01-AUG-13,"Bosnia and Herzegovina","COUNTRY (FIR)",1032,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Bulgaria","COUNTRY (FIR)",2091,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Croatia","COUNTRY (FIR)",1975,343,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,30,9
"2013",8,"AUG",01-AUG-13,"Cyprus","COUNTRY (FIR)",948,1531,0,1504,0,0,0,0,0,0,0,0,0,27,0,0,0,0,105,40
"2013",8,"AUG",01-AUG-13,"Czech Republic","COUNTRY (FIR)",2314,210,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,20,4
"2013",8,"AUG",01-AUG-13,"Denmark","COUNTRY (FIR)",1771,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Estonia","COUNTRY (FIR)",567,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Finland","COUNTRY (FIR)",653,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"France","COUNTRY (FIR)",9249,429,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11
"2013",8,"AUG",01-AUG-13,"Georgia","COUNTRY (FIR)",280,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Germany","COUNTRY (FIR)",9086,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Greece","COUNTRY (FIR)",2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013",8,"AUG",01-AUG-13,"Hungary","COUNTRY (FIR)",2185,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Ireland","COUNTRY (FIR)",1477,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Italy","COUNTRY (FIR)",5760,,,,,,,,,,,,,,,,,,,
"2013",8,"AUG",01-AUG-13,"Latvia","COUNTRY (FIR)",731,,,,,,,,,,,,,,,,,,,
