"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2014",11,"NOV",01-NOV-14,"ANA LUX","ANSP (AUA)",132,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"ANS CR","ANSP (AUA)",1603,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"ARMATS","ANSP (AUA)",131,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Albcontrol","ANSP (AUA)",541,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Austro Control","ANSP (AUA)",2226,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Avinor","ANSP (AUA)",951,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"BULATSA","ANSP (AUA)",1992,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Belgocontrol","ANSP (AUA)",1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"Croatia Control","ANSP (AUA)",1428,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"DCAC Cyprus","ANSP (AUA)",873,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"2014",11,"NOV",01-NOV-14,"DFS","ANSP (AUA)",6497,1441,0,0,0,0,0,0,0,0,0,0,0,541,0,0,900,0,83,43
"2014",11,"NOV",01-NOV-14,"DHMI","ANSP (AUA)",3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"DSNA","ANSP (AUA)",7130,1232,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,34
"2014",11,"NOV",01-NOV-14,"EANS","ANSP (AUA)",456,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"ENAIRE","ANSP (AUA)",4576,2458,0,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,91
"2014",11,"NOV",01-NOV-14,"ENAV","ANSP (AUA)",3561,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"EUROCONTROL Area (MS)","AREA (AUA)",21103,12825,0,11384,0,0,0,0,0,0,0,0,0,541,0,0,900,0,692,407
"2014",11,"NOV",01-NOV-14,"Finavia","ANSP (AUA)",423,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"HCAA","ANSP (AUA)",1623,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"HungaroControl (EC)","ANSP (AUA)",1810,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"IAA","ANSP (AUA)",1285,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"LFV","ANSP (AUA)",1274,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"LGS","ANSP (AUA)",608,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"LPS","ANSP (AUA)",1119,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"LVNL","ANSP (AUA)",1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"M-NAV","ANSP (AUA)",460,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"MATS","ANSP (AUA)",222,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"MUAC","ANSP (AUA)",3969,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"MoldATSA","ANSP (AUA)",128,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"NATS (Continental)","ANSP (AUA)",5129,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"NAV Portugal (Continental)","ANSP (AUA)",1479,7653,0,7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,238
"2014",11,"NOV",01-NOV-14,"NAVIAIR","ANSP (AUA)",1304,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Oro Navigacija","ANSP (AUA)",551,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"PANSA","ANSP (AUA)",1535,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"ROMATSA","ANSP (AUA)",1648,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"SAKAERONAVIGATSIA","ANSP (AUA)",320,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"SES Area (RP1)","AREA (AUA)",19603,12825,0,11384,0,0,0,0,0,0,0,0,0,541,0,0,900,0,692,407
"2014",11,"NOV",01-NOV-14,"SMATSA","ANSP (AUA)",1548,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"Skyguide","ANSP (AUA)",2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",01-NOV-14,"Slovenia Control","ANSP (AUA)",730,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",01-NOV-14,"UkSATSE","ANSP (AUA)",553,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"ANA LUX","ANSP (AUA)",168,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"ANS CR","ANSP (AUA)",1823,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"ARMATS","ANSP (AUA)",129,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Albcontrol","ANSP (AUA)",564,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Austro Control","ANSP (AUA)",2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"Avinor","ANSP (AUA)",1397,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"BULATSA","ANSP (AUA)",2102,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"Belgocontrol","ANSP (AUA)",1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"Croatia Control","ANSP (AUA)",1440,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"DCAC Cyprus","ANSP (AUA)",966,3100,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,96
"2014",11,"NOV",02-NOV-14,"DFS","ANSP (AUA)",7115,885,0,519,0,0,0,0,0,0,0,0,0,366,0,0,0,0,73,20
"2014",11,"NOV",02-NOV-14,"DHMI","ANSP (AUA)",3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",11,"NOV",02-NOV-14,"DSNA","ANSP (AUA)",7549,3685,0,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,110
"2014",11,"NOV",02-NOV-14,"EANS","ANSP (AUA)",484,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"ENAIRE","ANSP (AUA)",4630,2357,0,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,77
"2014",11,"NOV",02-NOV-14,"ENAV","ANSP (AUA)",3889,,,,,,,,,,,,,,,,,,,
"2014",11,"NOV",02-NOV-14,"EUROCONTROL Area (MS)","AREA (AUA)",24012,17169,0,16532,0,0,0,0,0,0,0,0,0,366,271,0,0,0,1042,525
"2014",11,"NOV",02-NOV-14,"Finavia","ANSP (AUA)",528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
