"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015","NEFAB",89625,1160,0,357,0,0,0,0,0,0,0,0,0,803,0,0,0,0
"2015","Baltic FAB",68230,6746,0,6365,0,0,0,0,0,0,381,0,0,0,0,0,0,0
"2015","UK-Ireland FAB",210897,15977,0,607,0,0,0,0,0,0,0,0,0,6957,7406,0,1007,0
"2015","BLUE MED FAB",205015,60123,0,24085,0,0,0,0,0,0,0,0,161,28295,7453,0,129,0
"2015","DK-SE FAB",90411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","SW FAB",160807,76842,0,37001,0,0,0,0,2065,0,3791,27307,0,376,0,0,6302,0
"2015","DANUBE FAB",81289,,,,,,,,,,,,,,,,,
"2015","FABEC",510753,255350,0,113594,0,0,1669,57022,8779,489,12982,22990,0,17721,6660,0,13444,0
"2015","FAB CE (SES RP2)",178940,4457,0,2847,0,0,0,0,0,0,29,0,0,1402,29,0,150,0
