"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2015",3,"MAR",01-MAR-15,"ANA LUX","ANSP (AUA)",131,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"ANS CR","ANSP (AUA)",1639,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"ARMATS","ANSP (AUA)",115,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"Albcontrol","ANSP (AUA)",403,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"Austro Control","ANSP (AUA)",2045,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"Avinor","ANSP (AUA)",1354,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"BULATSA","ANSP (AUA)",1696,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"Belgocontrol","ANSP (AUA)",1321,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"Croatia Control","ANSP (AUA)",1056,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"DCAC Cyprus","ANSP (AUA)",845,903,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,29
"2015",3,"MAR",01-MAR-15,"DFS","ANSP (AUA)",6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",3,"MAR",01-MAR-15,"DHMI","ANSP (AUA)",3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",3,"MAR",01-MAR-15,"DSNA","ANSP (AUA)",6970,3760,0,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,111
"2015",3,"MAR",01-MAR-15,"EANS","ANSP (AUA)",468,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"ENAIRE","ANSP (AUA)",4131,385,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,30,7
"2015",3,"MAR",01-MAR-15,"ENAV","ANSP (AUA)",3464,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"EUROCONTROL Area (MS)","AREA (AUA)",22334,6886,0,4663,0,0,0,0,0,0,0,1406,0,817,0,0,0,0,395,192
"2015",3,"MAR",01-MAR-15,"Finavia","ANSP (AUA)",551,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"HCAA","ANSP (AUA)",1316,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"HungaroControl (EC)","ANSP (AUA)",1601,,,,,,,,,,,,,,,,,,,
"2015",3,"MAR",01-MAR-15,"IAA","ANSP (AUA)",1268,,,,,,,,,,,,,,,,,,,
