"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2016",12,"DEC",01-DEC-16,"ANA LUX","ANSP (AUA)",215,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"ANS CR","ANSP (AUA)",1948,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"ARMATS","ANSP (AUA)",107,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"Albcontrol","ANSP (AUA)",316,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"Austro Control","ANSP (AUA)",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"Avinor","ANSP (AUA)",1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"BULATSA","ANSP (AUA)",1623,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"Belgocontrol","ANSP (AUA)",1679,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"Croatia Control","ANSP (AUA)",950,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"DCAC Cyprus","ANSP (AUA)",812,689,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,46,17
"2016",12,"DEC",01-DEC-16,"DFS","ANSP (AUA)",7534,671,0,628,0,0,0,0,0,0,0,0,0,43,0,0,0,0,56,15
"2016",12,"DEC",01-DEC-16,"DHMI","ANSP (AUA)",3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"DSNA","ANSP (AUA)",7027,181,0,9,0,0,0,0,0,0,0,172,0,0,0,0,0,0,21,1
"2016",12,"DEC",01-DEC-16,"EANS","ANSP (AUA)",505,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"ENAIRE","ANSP (AUA)",3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"ENAV","ANSP (AUA)",3638,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"EUROCONTROL Area (MS)","AREA (AUA)",26393,3564,0,2308,0,0,0,0,906,0,0,172,0,178,0,0,0,0,290,75
"2016",12,"DEC",01-DEC-16,"Finavia","ANSP (AUA)",754,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"HCAA","ANSP (AUA)",1244,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"HungaroControl (EC)","ANSP (AUA)",1663,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"IAA","ANSP (AUA)",1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"LFV","ANSP (AUA)",2186,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"LGS","ANSP (AUA)",612,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"LPS","ANSP (AUA)",1102,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"LVNL","ANSP (AUA)",1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016",12,"DEC",01-DEC-16,"M-NAV","ANSP (AUA)",240,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"MATS","ANSP (AUA)",242,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"MUAC","ANSP (AUA)",4606,819,0,467,0,0,0,0,217,0,0,0,0,135,0,0,0,0,76,13
"2016",12,"DEC",01-DEC-16,"MoldATSA","ANSP (AUA)",96,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"NATS (Continental)","ANSP (AUA)",6222,418,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10
"2016",12,"DEC",01-DEC-16,"NAV Portugal (Continental)","ANSP (AUA)",1312,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"NAVIAIR","ANSP (AUA)",1863,,,,,,,,,,,,,,,,,,,
"2016",12,"DEC",01-DEC-16,"Oro Navigacija","ANSP (AUA)",580,,,,,,,,,,,,,,,,,,,
