"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1","FLT_ERT_1_DLY","FLT_ERT_1_DLY_15"
"2014",12,"DEC",01-DEC-14,"Albania","COUNTRY (FIR)",332,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Armenia","COUNTRY (FIR)",112,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Austria","COUNTRY (FIR)",2463,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Belgium","COUNTRY (FIR)",2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",12,"DEC",01-DEC-14,"Bosnia and Herzegovina","COUNTRY (FIR)",558,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Bulgaria","COUNTRY (FIR)",1426,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Croatia","COUNTRY (FIR)",908,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Cyprus","COUNTRY (FIR)",690,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Czech Republic","COUNTRY (FIR)",1626,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Denmark","COUNTRY (FIR)",1658,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Estonia","COUNTRY (FIR)",476,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Finland","COUNTRY (FIR)",739,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"France","COUNTRY (FIR)",6910,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"2014",12,"DEC",01-DEC-14,"Georgia","COUNTRY (FIR)",333,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Germany","COUNTRY (FIR)",7271,578,0,184,0,0,0,0,0,0,0,394,0,0,0,0,0,0,54,12
"2014",12,"DEC",01-DEC-14,"Greece","COUNTRY (FIR)",1143,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Hungary","COUNTRY (FIR)",1470,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Ireland","COUNTRY (FIR)",1191,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Italy","COUNTRY (FIR)",3643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",12,"DEC",01-DEC-14,"Latvia","COUNTRY (FIR)",568,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Lithuania","COUNTRY (FIR)",621,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Malta","COUNTRY (FIR)",175,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Moldova","COUNTRY (FIR)",87,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Netherlands","COUNTRY (FIR)",2912,397,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12
"2014",12,"DEC",01-DEC-14,"Norway","COUNTRY (FIR)",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014",12,"DEC",01-DEC-14,"Poland","COUNTRY (FIR)",1605,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Portugal","COUNTRY (FIR)",1326,415,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10
"2014",12,"DEC",01-DEC-14,"Portugal Continental","COUNTRY (FIR)",1159,415,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10
"2014",12,"DEC",01-DEC-14,"Portugal Santa Maria","COUNTRY (FIR)",311,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Romania","COUNTRY (FIR)",1310,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Serbia and Montenegro","COUNTRY (FIR)",1006,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Slovakia","COUNTRY (FIR)",959,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Slovenia","COUNTRY (FIR)",621,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Spain","COUNTRY (FIR)",3649,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Spain Canarias","COUNTRY (FIR)",724,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Spain Continental","COUNTRY (FIR)",3403,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Sweden","COUNTRY (FIR)",2001,,,,,,,,,,,,,,,,,,,
"2014",12,"DEC",01-DEC-14,"Switzerland","COUNTRY (FIR)",2296,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
"2014",12,"DEC",01-DEC-14,"The former Yugoslav Republic of Macedonia","COUNTRY (FIR)",234,,,,,,,,,,,,,,,,,,,
