"YEAR","ENTITY_NAME","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015","NEFAB",80113,7403,0,444,0,0,0,0,0,0,0,5592,0,1367,0,0,0,0
"2015","Baltic FAB",56914,1490,0,1417,0,0,0,0,0,0,73,0,0,0,0,0,0,0
"2015","UK-Ireland FAB",172495,3129,0,946,0,0,0,0,0,0,0,0,0,2183,0,0,0,0
"2015","BLUE MED FAB",147844,33921,0,3431,0,0,0,0,4746,0,0,0,0,25744,0,0,0,0
"2015","DK-SE FAB",80427,7351,0,0,0,0,0,0,0,0,0,0,0,0,6738,0,613,0
"2015","SW FAB",123981,28244,0,26807,0,67,0,0,130,0,613,158,0,0,0,0,469,0
"2015","DANUBE FAB",61388,,,,,,,,,,,,,,,,,
"2015","FABEC",408446,158569,0,21861,0,0,146,65005,520,0,10563,40691,0,10880,5794,0,3109,0
"2015","FAB CE (SES RP2)",134497,814,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
