"YEAR","MONTH_NUM","MONTH_MON","FLT_DATE","ENTITY_NAME","ENTITY_TYPE","FLT_ERT_1","DLY_ERT_1","DLY_ERT_A_1","DLY_ERT_C_1","DLY_ERT_D_1","DLY_ERT_E_1","DLY_ERT_G_1","DLY_ERT_I_1","DLY_ERT_M_1","DLY_ERT_N_1","DLY_ERT_O_1","DLY_ERT_P_1","DLY_ERT_R_1","DLY_ERT_S_1","DLY_ERT_T_1","DLY_ERT_V_1","DLY_ERT_W_1","DLY_ERT_NA_1"
"2015",4,"APR",01-APR-15,"ANA LUX","ANSP (AUA)",181,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"ANS CR","ANSP (AUA)",1821,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"ARMATS","ANSP (AUA)",98,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"Albcontrol","ANSP (AUA)",462,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"Austro Control","ANSP (AUA)",2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"Avinor","ANSP (AUA)",1614,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"BLUE MED FAB","FAB (FIR)",5945,7818,0,6905,0,0,0,0,0,0,0,0,0,913,0,0,0,0
"2015",4,"APR",01-APR-15,"BULATSA","ANSP (AUA)",1845,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"Baltic FAB","FAB (FIR)",2080,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"Belgocontrol","ANSP (AUA)",1724,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"Croatia Control","ANSP (AUA)",1233,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"DANUBE FAB","FAB (FIR)",2223,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"DCAC Cyprus","ANSP (AUA)",908,7818,0,6905,0,0,0,0,0,0,0,0,0,913,0,0,0,0
"2015",4,"APR",01-APR-15,"DFS","ANSP (AUA)",7667,409,0,58,0,0,0,0,0,0,0,0,0,0,0,0,351,0
"2015",4,"APR",01-APR-15,"DHMI","ANSP (AUA)",3375,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"DK-SE FAB","FAB (FIR)",2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"DSNA","ANSP (AUA)",7929,5907,0,5596,0,0,0,0,0,0,0,0,0,0,0,0,311,0
"2015",4,"APR",01-APR-15,"EANS","ANSP (AUA)",514,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"ENAIRE","ANSP (AUA)",4673,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"ENAV","ANSP (AUA)",4187,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"EUROCONTROL Area (MS)","AREA (AUA)",26906,16194,0,14110,0,0,0,0,0,0,0,0,0,1402,20,0,662,0
"2015",4,"APR",01-APR-15,"FAB CE","FAB (FIR)",5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"FAB CE (SES RP1)","FAB (FIR)",4690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"FAB CE (SES RP2)","FAB (FIR)",5073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"FABEC","FAB (FIR)",15376,7628,0,6966,0,0,0,0,0,0,0,0,0,0,0,0,662,0
"2015",4,"APR",01-APR-15,"Finavia","ANSP (AUA)",677,,,,,,,,,,,,,,,,,
"2015",4,"APR",01-APR-15,"HCAA","ANSP (AUA)",1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015",4,"APR",01-APR-15,"HungaroControl (EC)","ANSP (AUA)",1831,,,,,,,,,,,,,,,,,
